id	target	response	HumanPartialFinal	question
3303	Is stimulated by the median and ulnar nerves	It is stimulated by the medial and ulnar nerves.	0.5	The Digital Flexor Muscles
3304	Is stimulated by the median and ulnar nerves	It is stimulated by the medial and ulnar nerves	0.5	The Digital Flexor Muscles
3305	Is stimulated by the median and ulnar nerves	It is stimulated by the medial and ulnar nerves.	0.5	The Digital Flexor Muscles
3306	Is stimulated by the median and ulnar nerves	Ulnar and Medial Nerves	0	The Digital Flexor Muscles
3307	Is stimulated by the median and ulnar nerves	Stimulated by the ulnar and median nerves.	1	The Digital Flexor Muscles
3308	Is stimulated by the median and ulnar nerves	Stimulated by the ulnar and median nerves	1	The Digital Flexor Muscles
3309	Is stimulated by the median and ulnar nerves	Stimulated by the Ulnar and Median Nerves	1	The Digital Flexor Muscles
3310	Is stimulated by the median and ulnar nerves	There are two nerves that control the Digital Flexor muscles.	0	The Digital Flexor Muscles
3311	Is stimulated by the median and ulnar nerves	Stimulated by the median and the ulner nerve.	1	The Digital Flexor Muscles
3312	Is stimulated by the median and ulnar nerves	They are stimulated by the median and ulner nerves.	1	The Digital Flexor Muscles
3313	Is stimulated by the median and ulnar nerves	Stimulated by the median and ulner nerves.	1	The Digital Flexor Muscles
3314	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3315	Is stimulated by the median and ulnar nerves	to close the hand and make a fist	0	The Digital Flexor Muscles
3316	Is stimulated by the median and ulnar nerves	stimulated by the radial nerve	0	The Digital Flexor Muscles
3317	Is stimulated by the median and ulnar nerves	stimulated by the mediann and ulnar nerves	1	The Digital Flexor Muscles
3318	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3319	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3320	Is stimulated by the median and ulnar nerves	It is stimulated by the ulnar and m nerves	0.5	The Digital Flexor Muscles
3321	Is stimulated by the median and ulnar nerves	It is stumulated by the ulnar and m nerves	0.5	The Digital Flexor Muscles
3322	Is stimulated by the median and ulnar nerves	They are stimulated by the ulnar and m nerves	0.5	The Digital Flexor Muscles
3323	Is stimulated by the median and ulnar nerves	the median and ulnar nerve	0.5	The Digital Flexor Muscles
3324	Is stimulated by the median and ulnar nerves	the median and ulnar nerve	0.5	The Digital Flexor Muscles
3325	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerve	1	The Digital Flexor Muscles
3326	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3327	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3328	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3329	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3330	Is stimulated by the median and ulnar nerves	radial	0	The Digital Flexor Muscles
3331	Is stimulated by the median and ulnar nerves	stimulated by ulnar and median nerves	1	The Digital Flexor Muscles
3332	Is stimulated by the median and ulnar nerves	malnar and axial	0	The Digital Flexor Muscles
3333	Is stimulated by the median and ulnar nerves	Is stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3334	Is stimulated by the median and ulnar nerves	the fingers	0	The Digital Flexor Muscles
3335	Is stimulated by the median and ulnar nerves	median and ulna nerves	0	The Digital Flexor Muscles
3336	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3337	Is stimulated by the median and ulnar nerves	Stimulated by the muscle and ulna	0	The Digital Flexor Muscles
3338	Is stimulated by the median and ulnar nerves	Stimulated by the median and ulnar nerve	1	The Digital Flexor Muscles
3339	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3340	Is stimulated by the median and ulnar nerves	the median and ulcenar nerves	0	The Digital Flexor Muscles
3341	Is stimulated by the median and ulnar nerves	ulnar nerve	0	The Digital Flexor Muscles
3342	Is stimulated by the median and ulnar nerves	is stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3343	Is stimulated by the median and ulnar nerves	Is controlled by the ulna nerve.	0	The Digital Flexor Muscles
3344	Is stimulated by the median and ulnar nerves	Is stimulated by the radial nerve.	0	The Digital Flexor Muscles
3345	Is stimulated by the median and ulnar nerves	Is stimulated by the median and ulnar nerves.	1	The Digital Flexor Muscles
3346	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3347	Is stimulated by the median and ulnar nerves	stimulated by the ulnar nerve and some other nerve	0.5	The Digital Flexor Muscles
3348	Is stimulated by the median and ulnar nerves	ulnar	0	The Digital Flexor Muscles
3349	Is stimulated by the median and ulnar nerves	is stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3350	Is stimulated by the median and ulnar nerves	The ulnar and asdf nerves	0	The Digital Flexor Muscles
3351	Is stimulated by the median and ulnar nerves	Stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3352	Is stimulated by the median and ulnar nerves	ulnar and medial nerve	0	The Digital Flexor Muscles
3353	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
3354	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
3355	Is stimulated by the median and ulnar nerves	Is an ulner nerve	0	The Digital Flexor Muscles
3356	Is stimulated by the median and ulnar nerves	Is stimulated by the median and ulner nerves	1	The Digital Flexor Muscles
